First_line,Author,References_or_purpose,TiS,AHB,AoV,All_together_books,NCH,Iona_books,CH4,UMH,VU_MV,StJ_StS,Lutheran_sources,Evangelical_Lutheran_Worship,Alleluia_Aotearoa_Faith_Forever_Singing,StF_FwS,Hymns_for_a_Pilgrim_People_Congregational,Presbyterian_Hymnal,Gather_2nd_Ed,Gather_comprehensive,Gather_Comprehensive_2,Ritual_Song,CP_Canada,CP_England,Column_24,Chalice,Zion_Still_Sings,The_Source,URW,Column_29,StF,Column_31,MP,Comments,Column_39,Column_40
A little child the Saviour came,(Robertson),Baptism of a child; Ps 8; Mark 10:2-16; Lk 9:46-48; Lk 18:15-17;,,,,,,,CH631,,VU445,,,,,,,,,,,,,,,,,,,,,,,Maybe okay. Not sure how old-fashioned / inclusive in these sources.,PUER NOBIS NASCITUR / COMMANDMENTS,
A man there lived in Galilee,,AHB too non-inclusive,TiS 235,AHB 176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A message came to a maiden young,ANNUNCIATION,Annunciation,,,,,,,,,,,,,,,,,,,,RS 478,,,,,,,,,,,,Old fashioned song. Much better songs about for the annunciation. ,"search for ""maiden young""",
A mighty fortress / Our God's a fortress,(Luther / Macpherson translation),,,,,,,,,,VU263,,,,,,,,,,,,,,,,,,,,,,,A new translation of A mighty fortress.,,
A mighty fortress is our God (2 lines only),(Luther),Ps 46; ,,,,,,,,,VU770,,,,,,,,,,,,,,,Cha742,,,,,,,,Nice use of the hymn as a simple refrain to a responsive Psalm reading.,,
A mighty fortress is our God (Response),(Luther),Ps 31:1-8; Ps 71;,,,,,,,,,VU789,,,,,,,,,,,,,,,Cha738,,,,,,,,"Responsive psalm with sung refrain of the first line of ""A mighty fortress"".",,
A mighty fortress is our God / A safe stronghold our God is still,(Luther),Ps 46; Job 1:1; 2:1-10; 2 Co 4:3-6; ,TiS 103,AHB 8,TOSB002,,NCH439,,CH454,UMH110,VU262,,LBW228 / LBW229,ELW505,,,HPP382,"PH259,260 / GtG275",,GC607,GC(II)594,G(3)687,,CP(E) 366,W&R507,Cha065,,Srce2-27,URW271,82Hml-687,,,,"1 Samuel 17:(1a, 4-11, 19-23), 32-49; Ps 46; Phil 2:9-11; Matt 10:17-32; Mark 8:34-38; Lk 17:33; Eph 6:10-17; 1 Peter 5:6-11; Ps 46","Old words, lots of devils in this; could work if you did a poetic reading of it. The only words I would enjoy singing myself are in NCH. Need to check TiS. CH4 has ""A safe stronghold our God is still"". VU has French translation. Chalice lyrics are adapted by Ruth Duck, and Presbyterian Hymnal has some updated lyrics too.",
A mighty sound from heaven,(Wyton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,82Hml-230,,,,,,
A mighty wind invades the world,(Stanbrook Abbey),Pentecost,,,,,,,,,,,,,,A&M233,,,,,,,,CP(E) 365,,,,,,,,,,"Excellent strong imagery of the Spirit moving through the world. Largely inclusive, but for a Trinitarian verse at the end.",,
A Mother Lined a Basket,(Keithahn),"Moses, Hannah, Infant Christ, Christmas, Letting go of children, Graduation, Confirmation, kids leaving to go to college, Exod 2:1-10; Exod 6:20; 1 Sam 1; Lk 2; ",,,,,,,,,,,,,,SFFS 2189,,,,,,,,,,,,,,,,,,"Good words, see",lyrics here,
A mother's labor bears her child,,can't access,,,,,,,,,,,,,,,,,,,,,CP623,,,,,,,,,,,,,
A multitude comes From east and the west,(Landstad),,,,,,,,,,,,LBW313,,,,,,,,,,,,,,,,,,,,,,,
A New Commandment ,(Harding),JOHN 13:34,,Embracing Change (Harding),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,round,,
A new commandment I give unto you,(Westwood),John 13:34-35 ,TiS 699,AHB 571,,ATN 65,,,,,,SLW66,WoV664,,GA318,,,,,,,,,,,,,Srce35,,,StF242,Lau920,MP001,"Some versions are inclusive, using ""people"" or ""others"" instead of ""all men"" or ""by this the world shall know"". ",midi,
A new heart Lord create in me,(Neuss),Ps 51; 1 Thess 5:23-24; Ro 12:1-2,TiS 559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new song to our God proclaim,(A collection of hymns and sacred poems),Ps 33; ,,,,,,,,,VU760,,,,,,,,,,,,,,,,,,,,,,,,,
A New Year God Has Given ,,can't access,,,,,,,,,,,,,,,HPP270,,,,,,,,,,,,,,,,,,,
A noble flower of Judah from tender roots has sprung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau126,,,,
A Perfect Sacrifice,,,,,,,,,,,,,,,,,,,,,,,,,,,ZSS200,,,,,,,,,
A pilgrim was I and a-wandering / Surely goodness and mercy,,Exod 15:13; Ps 16:11; Ps 23; Rev 19:9,,,TOSB197,,,,,,,,,,,,HPP435,,,,,,,,,,,,,,,,,Often sung as a chorus only; the verses are not inclusive.,,
A pinch of salt,(Gibson),Matt 5:1-12; Micah 6:8; ,,,,,,,,,,,,,HiOS001,,,,,,,,,,,,,,,,,,,Funny,,
A prophet-woman broke a jar,(Wren),"Acts 2:1-21; Acts 2:14a, 36-41; Eph 2:11-22; John 12:1-8; John 18:1-19:42; Mark 14:1-15:47; Mark 16:1-14; Matt 26:14-27:66; Matt 28:1-10; Prov 31:10-31; Ps 8; Lk 24:1-12; 1 Co 12:4-11; John 20:1-18; Acts 1:14; Acts 2:17-18",TiS 696,,,,,,,,VU590,,,,,,,GtG201,,,,,CP463,,W&R585,,,,,,,,,,Celebrates many women's stories in the Bible.,
A Purple Robe a crown of thorn,(Dudley-Smith),"John 1:1-14; Lk 22:14-23:56; Mark 14:1-15:47; Mark 14:1-15:47; Matt 11:16-19, 25-30; Matt 26:14-27:66",,,,,,,,,,,,,,A&M174,,,,,,,,,W&R279,,SP62,,,,,,,,http://www.oremus.org/hymnal/a/a040.html,
A rich young man came seeking,Marjorie Dobson,Redhills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StF243,,,Rich young ruler; loaves and fishes. Challenging word and a lovely simple 3/4 tune. ,,
A safe stronghold our God is still,Martin Luther (from Psalm 46),Ein' Feste Burg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StF623,,MP002,,,
A Shepherd I'll Be To You,Bates,Welcoming; Communion,,,AoV1-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simple tune. Loving words of welcome.,,
A sign is seen in heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lau350,,,,
A small thing like a hazelnut,(Whitney),Gen 1:1-2:4a; Ps 63:1-3; Ps 139; ,,,,,,,CH142,,,,,,,,,,,,,,,,,,,,,,,,,Really nice words and a simple tune. Song about God's love for all things and all people.,,
A Song of Faith ,(Harding),JOHN 20:26-29 ,,Returning Home (Harding),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A sower a sower went sowing one day,Chan,Matt 13,,,AoVK-156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fun. More storytelling than congregational.,,
A sower came from ancient hills,(Steumpfle),Matt 13:3-8; Mark 4:3-8; Mark 4:14-20; Lk 8:5-15,,,,,,,,,,,,,,,,GtG171,,,,,,,,,,,,,,,,,,
A special star a special star,Lynda Masson,A Special Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StF223,,,,,
A spendthrift Lover is the Lord,(Doran),2 Co 9:15; John 3:14-17; Ro 5:6-11; Philip 2:5-8,TiS 676,,,,,,,,,,,,,,,,,,,,CP177,,,,,,,,,,,Good words. Tune seems tricky,,
A Stable Lamp Is Lighted,(Wilbur),Matt 26:14-27:66; Ps 22; Lk 19 :39-40; Palm Sunday; Christmas,,,,,,,,,,StS025,LBW074,,,,,GtG160,G(II)269,GC356,,,,CP(E) 42,W&R206,Cha141,,,,82Hml-104,,,,"Starting From the stable, ending on the cross. This has a nice celticish tune, which is simple to sing, and a refrain of ""and every stone shall cry"". I like it. ",TOLLEFSON,
A star shone bright,(Garland),Epiphany,GBOD online resource / Church folders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A stranger met by chance,(Barrell),Lk 24:13-35; Emmaus,,,,,,,,,,,,,HiOS002,,,,,,,,,,,,,,,,,,,,,
A time to watch a time to pray,(Neale),,,,,,,,,,,,,,,A&M175,,,,,,,,,,,SP65,,,,,,,,,
A Voice Cries Out,(Joncas),Doesn't really grab me. May be worth another look.,,,,,,,,,,,,,GA278,,,,,,GC(II)343,G(3)416,,,,,,,,,,Lau96,,"search for ""Voice""",,
A Voice In The Wilderness calls to prepare,(Robinson),Advent; John the baptist,,,AoV1-062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite groovy. A few changes needed in the first verse to make the lyrics inclusive for God.,,
A voice was heard in Ramah,(Gillette),Isa 9:06; Matt 2:13-23; Romans 12:9-21,,,,,,,,,MV111,,,,,,,,,,,,,,,,,,,,,,,"Lament, death of children; peace; war; Good words to a very straightforward hymn tune.",,
A woman and a coin / the coin is lost,(Vajda),Lk 15:8-10,,,,,,,,,VU360,,,,,,,GtG173,,,,,,,,Cha074,,,,,,,,Need to check the tune.,http://open.salon.com/blog/theglasscharacter/2009/11/08/the_lost_coin,
A woman came who did not count,(Leach),Mark 14:3-9,,,,,NCH206,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tune is tricky, but quite beautiful and haunting when you know it.",,
